普尔曼, Pullman
爱德伦, Edlen
雷利, Riley
罗兰, Roland
英格丽, Ingrid
高塔里, Tower Within
凝月露, Lunar Dew Condensation
拉格蒂丝, Lagdith
塞勒涅, Selene
梦郑, Mengzheng
阿加莎, Agatha
赛西娜, Saisena
埃罗尔, Erol
吉恩·涅伦德, Gene Nelond
埃隆·特雷依, Elon Treyi
西大陆, Western Continent
红帆, Red Sail
联合社团, United Club
瑟维斯, Servis
高塔学院, Tower Academy
特里同, Triton
雏月, Chuyue
阿伦, Aaron
新维尔加, New Vilga
夜灵, Yeling
切尔, Chelsea
克兰西, 克兰西
索兰德王, Soland King
红椹宫, Red Mulberry Palace
帕琳莎, Palinsha
风涟宫, Wind Ripple Palace
索尼亚, Sonia
莱登, Layton
黑松河, Black Pine River
阿塔蒂, Attadi
赛格, Seg
兰兹华斯, Landsward
提西岚, Tixilan
蕾西娅, Leixiya
克兰, Cranthia
埃夫特城, Efut City
冷泉村, Coldspring Village
西藏, Tibet
关卡, 关卡
雪特, Xue Te
隆德阁, Longde Pavilion
苏菲, Sophie
莱克, Lake
布丁, Pudding
南极大陆, Antarctic Continent
红枫龙, Red Maple Dragon
伊格莉, Igli
王都, Royal Capital
曹操, Cao Cao
霍兰特, Holant
美伊尔, Meiyier
乌努尔萨满, Unur Shaman
克兰西亚人, Cransian
白焰, White Flame
莫兹瓦, Mozwa
卡伦瑞尔, Kalenruir
华兹华斯, Wordsworth
洛希尔, Losir
梅莲, Meilian
克乌斯, Kewus
爱德华, Edward
伊斯拉斐尔, Israfel
奥狄斯, Odysseus
艾索拉斯, Aesoras
水瓶宫, Aquarius Palace
碧涅丝, Bienice
圣枪骑士团, Holy Spear Knights
海森, Haisen
十二宫, Twelve Palaces
莱安, Lian
圣歌宫, Hymn Palace
夏朗德, Charlant
布伦纳德, Brennard
詹金斯, Jenkins
克兰西亚派, Cranthia Faction
费赫朗, Feihelang
黄楠郡, Huangnan County
艾达, Ada
布鲁, Bru
狮鬃族, Lionmane Tribe
罗杰, Roger
塔内, Tower Interior
青空, Azure Sky
布莱克, Black
荒雷省, Thunderwaste Province
库珀, Cooper
欧尔佳, Orga
黑蒂丝, Hedith
安斯艾尔, Ansel
巴哈姆特, Bahamut
米佳勒, Mikael
爱曼克, Aimank
于百仇, Yu Baichou
数洲, Shuzhou  
朱莉斯, Julius
东西大陆, Eastern Continent
雷泽, Leize
玄衣宫, Xuan Yi Palace
唐南莲, Tang Nanlian
艾忒茜, Aethesia
艾琳, Aileen
黄海, Yellow Sea
七洲, Seven Continents
禄洲, Luzhou
堇华, Jinhua
苏叶, Su Ye
倘诺, Tangnuo
建木青凰决, Jianmu Qinghuang Jue
素沁, Su Qin
回禄洲, Huilu Continent
九荒山, Jiu Huang Mountain
郁灵雨, Yu Lingyu
霞栌宫, Xialu Palace
葛罗婆婆, Granny Gero
青菱, Qingling
李阴臣, Li Yinchen
阎罗山, Mount Yama
玉剑, Jade Sword
暮山洲, Mushan Continent
卜巡, Bu Xun
洛京, Luo Jing
阎罗宫, Yama Palace
陆珂, Lu Ke
堇, Jinhua
绿洲, Oasis
郁听雨, Yu Tingyu
凤, Phoenix
霞月, Xiayue
凌湖, Linghu
萧语冰, Xiao Yubing
语冰, Yubing
龙泉州, Longquan Continent
苍红, Canghong
龙泉湾, Longquan Bay
洛丽塔, Lolita
南封洲, Nanfeng Continent
卡布伦, Cablen
巴斯卡, Baska
克洛亚缇, Kluoati
莎琳娜, Salina
莉莉艾丝特, Lilieste
李林, Li Lin
安塔尔, Antar
亚林, Arlin
维奥, Vio
蔷薇宫, Rose Palace
温妮莎, Vanessa
霍华德, Howard
吉哈森, Jihasen
尤歌莉娅, Yugelia
杜休, Du Xiu
温娜, Wenna
琉璃省, Liuli Province
潘多拉, Pandora
兰妮纱, Lannis
伊雪, Yixue
图森, Tusen
薇丝忒娜, Vistena
贝法丝, Befass
亚尔德, Yard
梅西娅, Mesia
沙琳, Shalin
莫若, Moruo
余辉, Afterglow
梅西, Messi
洛蒂, Lottie
余裕, leeway
黑溪村, Black Creek Village
罗莎蒂娜, Rosadina
夏兰萝特, Charlarotte
伊温妮, Yvonne
伊贝儿, Ibeir
埃里奥, Elio
依耶娜, Iena
乔治城, George City
古华斯, Guhasi
蛮牛古华斯, Savage Bull Guhasi
教育部, Ministry of Education
格薇尔, Gweir
赤心省, Crimson Heart Province
朱蒂, Judy
法沃斯, Favos
瓦琳娜, Valina
椰风岛, Coconut Wind Island
妮卡, Nika
菲尼丝, Fenith
拉朵瑞德, Ladured  
库雷亚, Kureya
库文郡, Kuwen County
赤礁省, Red Reef Province
露娜, Luna
安妮, Annie
埃隆, Airon
希柏雅, Hibiya
泰妮娅, Tinia
比尔托亚, Billtoya
安娜, Anna
梅希娅, Meixiya
珀赛斯, Perseus
艾曼克, Aimank
西弗莱, Sifrai
菲吕拉, Firula
欧若涅, Aurone
特雷依, Treyi
法尔弗纳, Farfner
伊雪葛林, Ixegrin
阿杰莉娜, Ajelina
柯诺丝, 柯诺丝
安斯罗伊, Ansroy
范斯登, Vansteden
亚度尼, Arduni
赫尔斯, Hers
栗金, Chestnut Gold
艾依赫卡翠, Aiyihekacui
苔丝琳, Tesslyn
夏莉, Xia Li
亚萨拉, Asara
玛兰莎, Maransha
伊凯斯, Ikais
莱莎, Lyssa
薇丝, Vistena
春之歌, Song of Spring
华德林, Waldelin
东南角, Southeast Corner
阿玻莉, Apoli
永暗岛, Eternal Dark Island
伊格, Eagle
布鲁斯, Bruce
艾乌蕾, Euryale
琳, Lin
忒华, Tehua
劳埃德, Lloyd
北大陆, Northern Continent
无尽海, Endless Sea
埃珀里翁, Eperion
忒娜, Teina
莎柏琳娜, Sabrina
翠月之宫, Emerald Moon Palace
霍拉索恩, Horasorn
艾忒亚, Aetia
蒂凡妮, Tiffany
林顿, Linton
森林里, In the forest
罗伯逊, Robertson
芬格尔, Fingal
尹还壁, Yin Huanbi
华丝琳, Hua Silin
露莉亚, Lulia
塔里, Tali
葛佳莱德, Gejialade
鲁林, Lulin
卢德斯, Ludes
黑猫魔女, Black Cat Witch
梅蒂拉, Medela
星琉大战, Starry Glass War
风音高塔, Windchime Tower
渡鸦, Raven Duke
南海, South Sea
龙尾, Dragon's Tail
魏冷雁, Wei Lengyan
乔松, Qiao Song
薇坪洲, Weipingzhou
东壶洲, East Pot Continent
辛泽亚, Xin Zeya
陀狮堂, Tuoshi Hall
诸玄, Zhu Xuan
白泽国, Baize Kingdom
昭龙, Zhaolong
叶榆族, Yeyu Clan
白藻, Bai Zao
李靖方, Li Jingfang
岱洲, Dai Continent
水朱洲, Shuizhu Continent
靘洲, Qingzhou
水螺洲, Shuiluo Continent
叶河, Xiangye River
玄渊洲, Xuan Yuan Continent
乌鑫城, Wuxin City
西南, Southwest
后山, Rear Mountain
百蛮洲, Baiman Continent
蛮洲, Manzhou
北府军, 北府军
这江, 这江  
三十一洲, Thirty-One Provinces
七海, Seven Seas
列尔乌, Lierwu
云门山, Yunmen Mountain
尹妙馨, Yin Miaoxin
余采封, Yu Caifeng
河岱洲, Hedai Continent
黑水洲, Blackwater Continent
阿琳娜, Alina
斩铁·斯托维特, Zhan Tie·Stovit
杰勒米, Jeremy
洛若曦, Luo Ruoxi
泪月湖湖畔, Lake Leyue
蕾莉拉, Lelila
